"release_group","MPR_Groupings","ExpansionStatus","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Proportion_of_group_raw_recoveries"
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","Columbia commercial/treaty","notmissing",126,1071.78,0.11756143984773,0.0845637583892618
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","Escapement","notmissing",765,2130.83,0.359015031701262,0.513422818791946
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","Oregon Fisheries","notmissing",14,31.62,0.442757748260595,0.00939597315436242
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","Terminal Sport","missing",1,NA,NA,0.000671140939597315
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","Terminal Sport","notmissing",136,778.82,0.174623147839039,0.0912751677852349
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","WA Coastal Commercial/Treaty","notmissing",129,223.85,0.57627875809694,0.0865771812080537
"WELLS HATCHERY2013COLUMBIA NEAR WELLS","WA Coastal Sport","notmissing",9,12.9,0.697674418604651,0.00604026845637584
"WELLS HATCHERY2013COLUMBIA NEAR WELLS",NA,"notmissing",1,1.54,0.649350649350649,0.000671140939597315
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Alaska Fisheries","missing",1,NA,NA,0.000738007380073801
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Alaska Fisheries","notmissing",126,350.32,0.359671157798584,0.0929889298892989
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Boundary Waters Sport","notmissing",1,13.24,0.0755287009063444,0.000738007380073801
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Canadian Fisheries","notmissing",133,399.58,0.332849491966565,0.0981549815498155
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Columbia commercial/treaty","notmissing",131,1191.68,0.109928839957035,0.0966789667896679
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Escapement","notmissing",700,1201.38,0.582663270572175,0.516605166051661
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Oregon Fisheries","notmissing",12,21.62,0.555041628122109,0.00885608856088561
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Terminal Sport","missing",1,NA,NA,0.000738007380073801
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","Terminal Sport","notmissing",99,871.43,0.113606371137096,0.0730627306273063
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","WA Coastal Commercial/Treaty","notmissing",142,213.16,0.66616626008632,0.10479704797048
"WELLS HATCHERY2014COLUMBIA NEAR WELLS","WA Coastal Sport","notmissing",9,16.27,0.553165334972342,0.00664206642066421
